"engine","track","schema_id","workload","input","sample_index","operation_count","total_us","us_per_operation","before_working_set_bytes","after_ready_working_set_bytes","after_finalize_working_set_bytes","peak_working_set_bytes","before_private_bytes","after_ready_private_bytes","after_finalize_private_bytes","private_bytes","pagefile_bytes","peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","1","48557.000","48557.000","7024640","10567680","9916416","11624448","1605632","3325952","2592768","3325952","3325952","5632000"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","1","25743.600","25743.600","9916416","10960896","10137600","13348864","2592768","3772416","2990080","3772416","3772416","6062080"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","2","1","20884.600","20884.600","10137600","10940416","10133504","13451264","2990080","3805184","3059712","3805184","3805184","6201344"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","3","1","23453.600","23453.600","10133504","10969088","10141696","13451264","3059712","3772416","3371008","3772416","3772416","6201344"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","4","1","23518.000","23518.000","10141696","10960896","10137600","13451264","3371008","3854336","3108864","3854336","3854336","6201344"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","1","21050.800","21050.800","10137600","10952704","10096640","13463552","3108864","3813376","3563520","3813376","3813376","6246400"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","6","1","20552.500","20552.500","10096640","10964992","10145792","13463552","3563520","3928064","3264512","3928064","3928064","6246400"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","7","1","20194.300","20194.300","10145792","10956800","10145792","13463552","3264512","3805184","3207168","3805184","3805184","6246400"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","8","1","23623.800","23623.800","10145792","10977280","10141696","13463552","3207168","3846144","3170304","3846144","3846144","6246400"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","0","1","21635.900","21635.900","10145792","10354688","unavailable","13463552","3174400","3162112","unavailable","3162112","3162112","6246400"
