"engine","track","schema_id","workload","input","sample_index","operation_count","total_us","us_per_operation","before_working_set_bytes","after_ready_working_set_bytes","after_finalize_working_set_bytes","peak_working_set_bytes","before_private_bytes","after_ready_private_bytes","after_finalize_private_bytes","private_bytes","pagefile_bytes","peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","1","47135.800","47135.800","7020544","10588160","9912320","11616256","1597440","3448832","2605056","3448832","3448832","5627904"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","1","24916.600","24916.600","9912320","10854400","9986048","13328384","2605056","3612672","2609152","3612672","3612672","6012928"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","2","1","24471.800","24471.800","9986048","10907648","10084352","13365248","2609152","3702784","2781184","3702784","3702784","6082560"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","3","1","22078.800","22078.800","10014720","10964992","10141696","13365248","2646016","3796992","2859008","3796992","3796992","6082560"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","4","1","23052.900","23052.900","10141696","10977280","10166272","13418496","2859008","3866624","2977792","3866624","3866624","6156288"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","1","22541.100","22541.100","10166272","11001856","10190848","13455360","2998272","3895296","3067904","3895296","3895296","6221824"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","6","1","23481.200","23481.200","10190848","10997760","10190848","13455360","3067904","3891200","2916352","3891200","3891200","6225920"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","7","1","25637.200","25637.200","10190848","10993664","10186752","13455360","2916352","3899392","2871296","3899392","3899392","6225920"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","8","1","26580.600","26580.600","10186752","10989568","10207232","13455360","2871296","3862528","2936832","3862528","3862528","6225920"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","0","1","25360.500","25360.500","10207232","10334208","unavailable","13455360","2936832","3461120","unavailable","3461120","3461120","6225920"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","1","1","25698.600","25698.600","10334208","10461184","unavailable","13492224","3461120","3923968","unavailable","3923968","3923968","6270976"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","2","1","22420.700","22420.700","10461184","10440704","unavailable","13492224","3923968","3866624","unavailable","3866624","3866624","6270976"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","3","1","29901.600","29901.600","10440704","10444800","unavailable","13492224","3866624","3829760","unavailable","3829760","3829760","6270976"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","4","1","24998.100","24998.100","10444800","10469376","unavailable","13492224","3829760","3543040","unavailable","3543040","3543040","6270976"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","5","1","25289.700","25289.700","10469376","10473472","unavailable","13492224","3543040","3350528","unavailable","3350528","3350528","6270976"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","6","1","24570.200","24570.200","10473472","10469376","unavailable","13492224","3350528","3440640","unavailable","3440640","3440640","6270976"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","7","1","26805.100","26805.100","10469376","10473472","unavailable","13492224","3440640","3674112","unavailable","3674112","3674112","6270976"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","8","1","22654.400","22654.400","10481664","10485760","unavailable","13492224","3686400","3502080","unavailable","3502080","3502080","6270976"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","9","1","23068.800","23068.800","10485760","10469376","unavailable","13500416","3502080","3276800","unavailable","3276800","3276800","6270976"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","10","1","22991.000","22991.000","10469376","10481664","unavailable","13500416","3276800","3637248","unavailable","3637248","3637248","6270976"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","11","1","26107.600","26107.600","10485760","10489856","unavailable","13500416","3637248","3768320","unavailable","3768320","3768320","6270976"
