"engine","track","schema_id","input","iterations","table_path","prism_path","selected_storage","table_mapping_mode","prism_mapping_mode","raw_prism_median_us","raw_prism_code_count","raw_table_median_us","raw_table_lookup_codes","raw_table_candidate_count","translator_median_us","real_prism_lookup_median_us","candidate_materialization_median_us","candidate_sort_median_us","filter_pipeline_median_us","ranker_pipeline_median_us","context_export_median_us","abi_c_string_allocation_median_us","free_context_median_us","rsmarisa_exact_lookup_calls_per_op","rsmarisa_prefix_lookup_calls_per_op","owned_candidates_per_op","context_page_candidates_per_op","abi_c_string_allocations_per_op","abi_c_string_bytes_per_op"
"yune","track-a-comparison","luna_pinyin","n","80","C:\m59-4d-perf-work-final-38e759f6\run3\track-a-yune\user\build\luna_pinyin.table.bin","C:\m59-4d-perf-work-final-38e759f6\run3\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.200","26","150.800","n|na|nai|nan|nang|nao|ne|nei|nen|neng|ni|nia|nian|niang|niao|nie|nin|ning|niu|nong|nou|nu|nuan|nun|nuo|nv|nve","1260","0.300","0.000","0.000","0.000","0.600","0.000","1.400","0.400","0.100","0.000","0.000","0.000","5.000","11.000","38.000"
"yune","track-a-comparison","luna_pinyin","ni","80","C:\m59-4d-perf-work-final-38e759f6\run3\track-a-yune\user\build\luna_pinyin.table.bin","C:\m59-4d-perf-work-final-38e759f6\run3\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","1","17.600","ni","182","0.350","0.000","0.000","0.050","0.550","0.000","1.400","0.450","0.100","0.000","0.000","0.000","5.000","11.500","40.000"
"yune","track-a-comparison","luna_pinyin","hao","80","C:\m59-4d-perf-work-final-38e759f6\run3\track-a-yune\user\build\luna_pinyin.table.bin","C:\m59-4d-perf-work-final-38e759f6\run3\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","1","13.800","hao","139","0.333","0.000","0.000","0.033","0.533","0.000","1.433","0.433","0.100","0.000","0.000","0.000","5.000","11.667","42.667"
"yune","track-a-comparison","luna_pinyin","zhongguo","80","C:\m59-4d-perf-work-final-38e759f6\run3\track-a-yune\user\build\luna_pinyin.table.bin","C:\m59-4d-perf-work-final-38e759f6\run3\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","0","2.100","zhongguo","4","0.863","0.000","0.000","0.037","1.538","0.025","1.450","0.450","0.138","0.000","0.000","0.000","5.000","11.500","77.625"
"yune","track-a-comparison","luna_pinyin","ceshiyixiachangjushuruxingnengzenyang","80","C:\m59-4d-perf-work-final-38e759f6\run3\track-a-yune\user\build\luna_pinyin.table.bin","C:\m59-4d-perf-work-final-38e759f6\run3\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","0","29.400","ceshiyixiachangjushuruxingnengzenyang","0","0.754","0.000","0.000","0.043","1.451","0.022","1.143","0.341","0.111","0.000","0.000","0.000","5.000","8.108","100.649"
"yune","track-a-comparison","luna_pinyin","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","C:\m59-4d-perf-work-final-38e759f6\run3\track-a-yune\user\build\luna_pinyin.table.bin","C:\m59-4d-perf-work-final-38e759f6\run3\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","0","35.900","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","0","0.715","0.000","0.000","0.037","1.385","0.025","1.095","0.322","0.108","0.000","0.000","0.000","5.000","7.492","110.966"
"yune","track-a-comparison","luna_pinyin","cszysmsrsd","80","C:\m59-4d-perf-work-final-38e759f6\run3\track-a-yune\user\build\luna_pinyin.table.bin","C:\m59-4d-perf-work-final-38e759f6\run3\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","0","0.700","cszysmsrsd","0","0.770","0.000","0.000","0.030","1.410","0.020","1.180","0.310","0.100","0.000","0.000","0.000","5.000","7.400","87.200"
"yune","track-a-comparison","luna_pinyin","zybfshmsru","80","C:\m59-4d-perf-work-final-38e759f6\run3\track-a-yune\user\build\luna_pinyin.table.bin","C:\m59-4d-perf-work-final-38e759f6\run3\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","0","0.800","zybfshmsru","0","0.770","0.000","0.000","0.030","1.410","0.020","1.180","0.290","0.100","0.000","0.000","0.000","5.000","7.400","83.000"
"yune","track-a-comparison","luna_pinyin","zh","80","C:\m59-4d-perf-work-final-38e759f6\run3\track-a-yune\user\build\luna_pinyin.table.bin","C:\m59-4d-perf-work-final-38e759f6\run3\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.200","20","297.100","zh|zha|zhai|zhan|zhang|zhao|zhe|zhei|zhen|zheng|zhi|zhong|zhou|zhu|zhua|zhuai|zhuan|zhuang|zhui|zhun|zhuo","2776","0.750","0.000","0.000","0.050","1.350","0.000","1.400","0.400","0.100","0.000","0.000","0.000","5.000","11.000","43.500"
"yune","track-a-comparison","luna_pinyin","j","80","C:\m59-4d-perf-work-final-38e759f6\run3\track-a-yune\user\build\luna_pinyin.table.bin","C:\m59-4d-perf-work-final-38e759f6\run3\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.100","14","387.500","j|ji|jia|jian|jiang|jiao|jie|jin|jing|jiong|jiu|ju|juan|jue|jun","3766","0.700","0.000","0.000","0.100","1.400","0.000","1.400","0.400","0.100","0.000","0.000","0.000","5.000","11.000","38.000"
