"engine","track","schema_id","workload","input","sample_index","operation_count","total_us","us_per_operation","before_working_set_bytes","after_ready_working_set_bytes","after_finalize_working_set_bytes","peak_working_set_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","1","55145.400","55145.400","7589888","11120640","10477568","12201984"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","1","30262.000","30262.000","10481664","11444224","10534912","13897728"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","2","1","27966.100","27966.100","10534912","11448320","10530816","13897728"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","3","1","26504.600","26504.600","10530816","11464704","10584064","13897728"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","4","1","27127.600","27127.600","10584064","11538432","10711040","13897728"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","0","1","29229.600","29229.600","10711040","10813440","unavailable","13959168"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","1","1","26413.900","26413.900","10813440","10891264","unavailable","13979648"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","2","1","25752.900","25752.900","10891264","10915840","unavailable","13991936"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","3","1","28609.100","28609.100","10915840","10924032","unavailable","13991936"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","4","1","25345.400","25345.400","10928128","10944512","unavailable","13996032"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","5","1","25312.900","25312.900","10944512","10948608","unavailable","14012416"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","6","1","25863.600","25863.600","10948608","10919936","unavailable","14012416"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","7","1","33457.400","33457.400","10919936","10936320","unavailable","14012416"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","8","1","28364.500","28364.500","10936320","10915840","unavailable","14016512"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","9","1","29065.200","29065.200","10915840","10932224","unavailable","14020608"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","10","1","35548.700","35548.700","10932224","10928128","unavailable","14020608"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","11","1","35484.000","35484.000","10928128","10940416","unavailable","14024704"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","12","1","30973.200","30973.200","10944512","10924032","unavailable","14024704"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","13","1","28044.400","28044.400","10924032","10928128","unavailable","14024704"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","14","1","36604.600","36604.600","10928128","11104256","unavailable","14024704"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","15","1","30258.900","30258.900","11108352","11051008","unavailable","14053376"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","16","1","34203.800","34203.800","11051008","11051008","unavailable","14053376"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","17","1","27032.200","27032.200","11051008","11018240","unavailable","14053376"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","18","1","26124.500","26124.500","11018240","11059200","unavailable","14053376"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","19","1","25569.200","25569.200","11059200","11022336","unavailable","14053376"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","20","1","33218.400","33218.400","11022336","11034624","unavailable","14053376"
