"engine","track","schema_id","workload","input","sample_index","operation_count","total_us","us_per_operation","before_working_set_bytes","after_ready_working_set_bytes","after_finalize_working_set_bytes","peak_working_set_bytes","before_private_bytes","after_ready_private_bytes","after_finalize_private_bytes","private_bytes","pagefile_bytes","peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","1","48916.300","48916.300","7036928","10604544","9928704","11628544","1605632","3485696","2768896","3485696","3485696","5623808"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","1","27489.400","27489.400","9932800","10928128","10121216","13312000","2768896","3768320","2887680","3768320","3768320","5984256"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","2","1","23942.400","23942.400","10121216","10985472","10096640","13447168","2887680","3796992","3092480","3796992","3796992","6197248"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","3","1","23805.900","23805.900","10096640","10977280","10162176","13463552","3092480","3776512","2846720","3776512","3776512","6201344"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","4","1","24498.700","24498.700","10162176","10985472","10174464","13463552","2846720","3760128","2863104","3760128","3760128","6201344"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","1","23076.300","23076.300","10174464","10989568","10092544","13475840","2863104","3784704","2752512","3784704","3784704","6201344"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","6","1","23159.800","23159.800","10092544","10981376","10117120","13475840","2752512","3768320","2781184","3768320","3768320","6201344"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","7","1","22947.900","22947.900","10117120","11010048","10117120","13475840","2781184","3948544","2777088","3948544","3948544","6201344"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","8","1","23581.400","23581.400","10117120","10993664","10133504","13479936","2777088","3928064","2793472","3928064","3928064","6205440"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","0","1","24366.000","24366.000","10137600","10326016","unavailable","13479936","2895872","2985984","unavailable","2985984","2985984","6209536"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","1","1","27623.800","27623.800","10326016","10383360","unavailable","13479936","2985984","3051520","unavailable","3051520","3051520","6209536"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","2","1","24064.800","24064.800","10383360","10371072","unavailable","13488128","3051520","3031040","unavailable","3031040","3031040","6209536"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","3","1","31932.100","31932.100","10371072","10440704","unavailable","13488128","3031040","3440640","unavailable","3440640","3440640","6209536"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","4","1","26691.900","26691.900","10440704","10399744","unavailable","13508608","3440640","3055616","unavailable","3055616","3055616","6279168"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","5","1","24281.000","24281.000","10399744","10506240","unavailable","13529088","3055616","3366912","unavailable","3366912","3366912","6279168"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","6","1","26391.500","26391.500","10506240","10498048","unavailable","13529088","3366912","3530752","unavailable","3530752","3530752","6279168"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","7","1","28244.300","28244.300","10498048","10514432","unavailable","13529088","3530752","3366912","unavailable","3366912","3366912","6279168"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","8","1","26738.900","26738.900","10518528","10493952","unavailable","13533184","3465216","3497984","unavailable","3497984","3497984","6279168"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","9","1","23389.100","23389.100","10498048","10493952","unavailable","13533184","3497984","3403776","unavailable","3403776","3403776","6279168"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","10","1","23554.500","23554.500","10493952","10522624","unavailable","13533184","3403776","3391488","unavailable","3391488","3391488","6279168"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","11","1","26997.700","26997.700","10522624","10502144","unavailable","13533184","3391488","3424256","unavailable","3424256","3424256","6279168"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","12","1","26917.900","26917.900","10502144","10510336","unavailable","13545472","3424256","3571712","unavailable","3571712","3571712","6279168"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","13","1","24791.300","24791.300","10510336","10510336","unavailable","13545472","3571712","3739648","unavailable","3739648","3739648","6279168"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","14","1","28139.200","28139.200","10510336","10514432","unavailable","13545472","3739648","3571712","unavailable","3571712","3571712","6279168"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","15","1","24992.600","24992.600","10514432","10645504","unavailable","13545472","3571712","3309568","unavailable","3309568","3309568","6279168"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","16","1","25186.800","25186.800","10645504","10575872","unavailable","13549568","3309568","3567616","unavailable","3567616","3567616","6348800"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","17","1","24532.200","24532.200","10575872","10584064","unavailable","13549568","3567616","3379200","unavailable","3379200","3379200","6348800"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","18","1","27509.900","27509.900","10584064","10575872","unavailable","13561856","3379200","3444736","unavailable","3444736","3444736","6418432"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","19","1","25701.700","25701.700","10575872","10727424","unavailable","13561856","3444736","3538944","unavailable","3538944","3538944","6418432"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","20","1","24083.400","24083.400","10727424","10653696","unavailable","13561856","3538944","3637248","unavailable","3637248","3637248","6418432"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","21","1","24955.000","24955.000","10653696","10633216","unavailable","13565952","3637248","3297280","unavailable","3297280","3297280","6418432"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","22","1","23784.300","23784.300","10633216","10694656","unavailable","13565952","3297280","3358720","unavailable","3358720","3358720","6418432"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","23","1","29852.600","29852.600","10694656","10657792","unavailable","13565952","3358720","3657728","unavailable","3657728","3657728","6418432"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","24","1","24695.600","24695.600","10661888","10661888","unavailable","13574144","3862528","3334144","unavailable","3334144","3334144","6418432"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","25","1","24593.100","24593.100","10661888","10727424","unavailable","13574144","3334144","3719168","unavailable","3719168","3719168","6418432"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","26","1","24442.300","24442.300","10727424","10739712","unavailable","13574144","3719168","3731456","unavailable","3731456","3731456","6418432"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","27","1","24996.400","24996.400","10743808","10645504","unavailable","13574144","3731456","3321856","unavailable","3321856","3321856","6418432"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","28","1","24928.700","24928.700","10645504","10674176","unavailable","13574144","3321856","3354624","unavailable","3354624","3354624","6418432"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","29","1","27752.900","27752.900","10674176","10690560","unavailable","13574144","3354624","3571712","unavailable","3571712","3571712","6418432"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","30","1","25310.200","25310.200","10690560","10854400","unavailable","13574144","3571712","3735552","unavailable","3735552","3735552","6418432"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","31","1","24169.700","24169.700","10854400","10817536","unavailable","13586432","3735552","3960832","unavailable","3960832","3960832","6418432"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","32","1","25099.700","25099.700","10817536","10756096","unavailable","13586432","3960832","3776512","unavailable","3776512","3776512","6418432"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","33","1","28022.000","28022.000","10756096","10829824","unavailable","13586432","3776512","3854336","unavailable","3854336","3854336","6418432"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","34","1","24147.100","24147.100","10829824","10768384","unavailable","13586432","3854336","3653632","unavailable","3653632","3653632","6418432"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","35","1","27719.900","27719.900","10768384","10747904","unavailable","13586432","3653632","3424256","unavailable","3424256","3424256","6418432"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","36","1","23637.400","23637.400","10752000","10846208","unavailable","13586432","3424256","3923968","unavailable","3923968","3923968","6418432"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","37","1","25001.400","25001.400","10846208","10833920","unavailable","13590528","3923968","3923968","unavailable","3923968","3923968","6418432"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","38","1","23659.500","23659.500","10833920","10764288","unavailable","13590528","3923968","3706880","unavailable","3706880","3706880","6418432"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","39","1","24939.700","24939.700","10764288","10825728","unavailable","13590528","3706880","3784704","unavailable","3784704","3784704","6418432"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","40","1","23679.900","23679.900","10825728","10842112","unavailable","13590528","3784704","3858432","unavailable","3858432","3858432","6418432"
