engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,45433.300,45433.300,7041024,10551296,9842688,11644928,1617920,3350528,2461696,3350528,3350528,5648384
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,24928.700,24928.700,9842688,10887168,10006528,13324288,2461696,3633152,2637824,3633152,3633152,6033408
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,23422.200,23422.200,10006528,10887168,10072064,13324288,2637824,3670016,2719744,3670016,3670016,6033408
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,22533.500,22533.500,10072064,10940416,10145792,13324288,2719744,3727360,2838528,3727360,3727360,6033408
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,24601.000,24601.000,10145792,10981376,10162176,13426688,2838528,3801088,2859008,3801088,3801088,6193152
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,24571.300,24571.300,10162176,10985472,10166272,13438976,2859008,3780608,2859008,3780608,3780608,6193152
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,26991.400,26991.400,10166272,10985472,10100736,13451264,2859008,3805184,2781184,3805184,3805184,6193152
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,23735.600,23735.600,10100736,11030528,10096640,13451264,2781184,3964928,2805760,3964928,3964928,6193152
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,24298.300,24298.300,10096640,10973184,10088448,13451264,2805760,3833856,2760704,3833856,3833856,6193152
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,23487.000,23487.000,10092544,10362880,unavailable,13451264,2768896,3145728,unavailable,3145728,3145728,6193152
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,25763.000,25763.000,10362880,10461184,unavailable,13451264,3145728,3211264,unavailable,3211264,3211264,6193152
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,23702.500,23702.500,10461184,10452992,unavailable,13471744,3211264,3371008,unavailable,3371008,3371008,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,27361.000,27361.000,10452992,10444800,unavailable,13471744,3371008,3334144,unavailable,3334144,3334144,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,22366.800,22366.800,10444800,10452992,unavailable,13471744,3334144,3346432,unavailable,3346432,3346432,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,26409.200,26409.200,10452992,10452992,unavailable,13479936,3346432,3338240,unavailable,3338240,3338240,6332416
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,22479.700,22479.700,10452992,10469376,unavailable,13484032,3338240,3350528,unavailable,3350528,3350528,6332416
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,23877.400,23877.400,10469376,10481664,unavailable,13496320,3350528,3366912,unavailable,3366912,3366912,6332416
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,23560.100,23560.100,10489856,10485760,unavailable,13500416,3383296,3346432,unavailable,3346432,3346432,6332416
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,22785.300,22785.300,10489856,10469376,unavailable,13500416,3346432,3215360,unavailable,3215360,3215360,6332416
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,10,1,23029.000,23029.000,10469376,10555392,unavailable,13500416,3215360,3444736,unavailable,3444736,3444736,6332416
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,11,1,24328.900,24328.900,10555392,10616832,unavailable,13500416,3444736,3514368,unavailable,3514368,3514368,6332416
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,12,1,22352.700,22352.700,10616832,10584064,unavailable,13500416,3514368,3493888,unavailable,3493888,3493888,6332416
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,13,1,22790.700,22790.700,10584064,10637312,unavailable,13516800,3493888,3350528,unavailable,3350528,3350528,6332416
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,14,1,23350.700,23350.700,10637312,10645504,unavailable,13516800,3350528,3641344,unavailable,3641344,3641344,6332416
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,15,1,22949.800,22949.800,10645504,10633216,unavailable,13516800,3641344,3727360,unavailable,3727360,3727360,6332416
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,16,1,23122.600,23122.600,10633216,10612736,unavailable,13516800,3727360,3608576,unavailable,3608576,3608576,6332416
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,17,1,22733.900,22733.900,10612736,10653696,unavailable,13516800,3608576,3346432,unavailable,3346432,3346432,6332416
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,18,1,24269.800,24269.800,10653696,10698752,unavailable,13533184,3346432,3661824,unavailable,3661824,3661824,6332416
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,19,1,23491.400,23491.400,10698752,10727424,unavailable,13533184,3661824,3661824,unavailable,3661824,3661824,6332416
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,20,1,23971.500,23971.500,10727424,10625024,unavailable,13533184,3661824,3579904,unavailable,3579904,3579904,6332416
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,21,1,24485.100,24485.100,10625024,10698752,unavailable,13533184,3579904,3620864,unavailable,3620864,3620864,6471680
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,22,1,24326.700,24326.700,10698752,10711040,unavailable,13533184,3620864,3940352,unavailable,3940352,3940352,6471680
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,23,1,27154.800,27154.800,10711040,10686464,unavailable,13533184,3940352,3624960,unavailable,3624960,3624960,6471680
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,24,1,25882.100,25882.100,10706944,10645504,unavailable,13533184,3670016,3592192,unavailable,3592192,3592192,6471680
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,25,1,23864.300,23864.300,10645504,10731520,unavailable,13533184,3592192,3670016,unavailable,3670016,3670016,6471680
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,26,1,24963.000,24963.000,10731520,10657792,unavailable,13553664,3670016,3362816,unavailable,3362816,3362816,6471680
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,27,1,24412.700,24412.700,10657792,10678272,unavailable,13553664,3362816,3387392,unavailable,3387392,3387392,6471680
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,28,1,27751.600,27751.600,10678272,10641408,unavailable,13553664,3387392,3547136,unavailable,3547136,3547136,6471680
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,29,1,24342.600,24342.600,10641408,10711040,unavailable,13553664,3547136,3710976,unavailable,3710976,3710976,6471680
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,30,1,26075.400,26075.400,10715136,10694656,unavailable,13578240,3710976,3702784,unavailable,3702784,3702784,6471680
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,31,1,25149.000,25149.000,10694656,10805248,unavailable,13578240,3702784,3751936,unavailable,3751936,3751936,6471680
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,32,1,22994.600,22994.600,10805248,10743808,unavailable,13578240,3751936,3661824,unavailable,3661824,3661824,6471680
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,33,1,32417.600,32417.600,10743808,10653696,unavailable,13578240,3661824,3366912,unavailable,3366912,3366912,6471680
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,34,1,23787.300,23787.300,10653696,10817536,unavailable,13578240,3366912,3919872,unavailable,3919872,3919872,6471680
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,35,1,24290.200,24290.200,10817536,10776576,unavailable,13578240,3919872,3489792,unavailable,3489792,3489792,6471680
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,36,1,27132.000,27132.000,10776576,10776576,unavailable,13578240,3489792,3702784,unavailable,3702784,3702784,6471680
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,37,1,28611.400,28611.400,10776576,10805248,unavailable,13578240,3702784,3915776,unavailable,3915776,3915776,6471680
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,38,1,23157.800,23157.800,10805248,10731520,unavailable,13578240,3915776,3633152,unavailable,3633152,3633152,6471680
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,39,1,24570.000,24570.000,10735616,10752000,unavailable,13578240,3633152,3649536,unavailable,3649536,3649536,6471680
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,40,1,27799.000,27799.000,10752000,10809344,unavailable,13578240,3649536,3751936,unavailable,3751936,3751936,6471680
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,41,1,23289.700,23289.700,10809344,10694656,unavailable,13578240,3751936,3391488,unavailable,3391488,3391488,6471680
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,42,1,23317.900,23317.900,10694656,10821632,unavailable,13578240,3391488,3944448,unavailable,3944448,3944448,6471680
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,43,1,23077.200,23077.200,10821632,10817536,unavailable,13578240,3944448,3723264,unavailable,3723264,3723264,6471680
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,44,1,22777.900,22777.900,10817536,10809344,unavailable,13578240,3723264,4067328,unavailable,4067328,4067328,6471680
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,45,1,22898.900,22898.900,10809344,10838016,unavailable,13578240,4067328,3739648,unavailable,3739648,3739648,6471680
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,46,1,22466.600,22466.600,10838016,10977280,unavailable,13578240,3739648,3715072,unavailable,3715072,3715072,6471680
