engine,track,schema_id,workload,input,sample_index,operation_count,process_key_calls,process_key_ns,translator_calls,translator_ns,lookup_views_visited,owned_candidates_materialized,owned_candidate_materialization_ns,candidates_sorted,candidate_sort_ns,userdb_merge_ns,filter_pipeline_ns,ranker_pipeline_ns,ai_merge_ns,candidates_stored,context_full_snapshot_candidates_cloned,context_page_snapshot_candidates_cloned,abi_get_context_calls,abi_get_context_ns,abi_candidates_exported,abi_free_context_calls,abi_free_context_ns,candidate_request_bounded_calls,candidate_request_unbounded_calls,candidate_request_page_limit_total,candidate_request_surplus_total,bounded_iterator_calls,bounded_iterator_limit_total,bounded_iterator_selected_total,bounded_iterator_full_count_total,full_list_translation_calls,full_list_fallback_count,exact_lookup_calls,exact_lookup_ns,exact_lookup_candidates,prefix_lookup_calls,prefix_lookup_ns,prefix_lookup_candidates,heap_exact_lookup_calls,heap_prefix_lookup_calls,no_marisa_compact_exact_lookup_calls,no_marisa_compact_prefix_lookup_calls,rsmarisa_exact_lookup_calls,rsmarisa_prefix_lookup_calls,prism_lookup_calls,prism_lookup_ns,prism_lookup_codes,abi_c_string_allocations,abi_c_string_bytes,abi_c_string_allocation_ns,sentence_candidate_calls,sentence_candidate_ns,sentence_substrings_considered,sentence_exact_lookup_calls,sentence_exact_lookup_ns,sentence_exact_lookup_candidates,sentence_prefix_lookup_calls,sentence_prefix_lookup_ns,sentence_prefix_lookup_candidates,sentence_entry_matches_collected,sentence_path_clones,sentence_path_replacements,sentence_paths_pruned,sentence_max_live_paths,sentence_result_candidates,upstream_sentence_model_calls,upstream_sentence_model_ns,upstream_sentence_model_candidates,upstream_sentence_model_code_prefix_checks,upstream_sentence_model_table_entries_considered,upstream_sentence_model_vocabulary_entries_considered,upstream_sentence_model_graph_edges,upstream_sentence_model_index_build_calls,upstream_sentence_model_index_build_ns,upstream_sentence_model_exact_range_index_hits,upstream_sentence_model_exact_range_index_misses,upstream_sentence_model_prefix_filter_hits,upstream_sentence_model_prefix_filter_misses,upstream_sentence_model_prefix_filter_early_breaks,upstream_sentence_model_reachable_starts_visited,upstream_sentence_model_unreachable_starts_skipped,upstream_sentence_model_phrase_index_walk_calls,upstream_sentence_model_phrase_index_nodes_visited,upstream_sentence_model_phrase_index_entry_ranges_emitted,upstream_sentence_model_partition_point_fallback_calls,upstream_sentence_model_graph_rebuild_calls,upstream_sentence_model_graph_rebuild_ns,upstream_sentence_model_incremental_reuse_hits,upstream_sentence_model_incremental_extend_ns,upstream_sentence_model_incremental_discarded_rebuild_chars,prefix_fallback_calls,prefix_fallback_ns,prefix_fallback_views_visited,prefix_fallback_candidates,dynamic_correction_calls,dynamic_correction_ns,dynamic_correction_codes_considered,dynamic_correction_candidates,abbreviation_span_discovery_calls,abbreviation_span_discovery_ns,abbreviation_span_candidates_considered,abbreviation_span_codes_emitted,abbreviation_model_has_code_calls,abbreviation_model_has_code_ns,abbreviation_code_span_graph_build_ns,abbreviation_sentence_ranking_ns,abbreviation_preedit_format_ns,abbreviation_candidate_format_ns,short_key_candidate_rows_scanned,short_key_candidates_materialized,short_key_candidates_cloned,short_key_filter_ns,short_key_sort_rank_ns,short_key_comment_quality_ns,short_key_first_page_materialize_ns,track_b_spelling_expansions_considered,track_b_spelling_expansion_ns,track_b_exact_lookup_calls,track_b_exact_lookup_ns,track_b_prefix_lookup_calls,track_b_prefix_lookup_ns,track_b_candidates_materialized,track_b_first_page_materialize_ns
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,0,0,22,54100,513353,0,0,0,400,10200,6200,400,400,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,0,6,4700,0,0,0,0,0,0,0,0,6,0,6,1200,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4700,0,0,0,0,0,1,3762600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,0,0,22,8700,0,0,0,0,200,2600,1700,300,900,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,0,6,1600,0,0,0,0,0,0,0,0,6,0,6,700,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,0,0,22,6500,0,0,0,0,600,1800,1000,300,300,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,0,6,1000,0,0,0,0,0,0,0,0,6,0,6,300,0,0,0,0,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,0,0,22,5100,0,0,0,0,300,1900,1200,300,300,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,0,6,700,0,0,0,0,0,0,0,0,6,0,6,200,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,0,0,22,5300,0,0,0,0,400,1500,1000,500,300,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,0,6,900,0,0,0,0,0,0,0,0,6,0,6,300,0,0,0,0,6,200,0,0,0,0,0,0,0,0,0,0,0,0,0,12,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,0,0,22,5600,0,0,0,0,500,1400,1500,200,400,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,0,6,800,0,0,0,0,0,0,0,0,6,0,6,400,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,0,0,22,5300,0,0,0,0,300,1800,1500,600,400,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,0,6,1000,0,0,0,0,0,0,0,0,6,0,6,200,0,0,0,0,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,12,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,0,0,22,5300,0,0,0,0,600,1600,1300,300,400,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,0,6,800,0,0,0,0,0,0,0,0,6,0,6,100,0,0,0,0,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,12,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,0,0,22,5800,0,0,0,0,500,1400,2000,200,400,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,0,6,800,0,0,0,0,0,0,0,0,6,0,6,100,0,0,0,0,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,12,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,0,0,22,4900,0,0,0,0,200,1700,1400,300,400,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,0,6,900,0,0,0,0,0,0,0,0,6,0,6,500,0,0,0,0,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,12,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,0,0,22,5400,0,0,0,0,200,1400,1400,300,700,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,0,6,800,0,0,0,0,0,0,0,0,6,0,6,300,0,0,0,0,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,12,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,0,0,22,4900,0,0,0,0,300,1300,1100,300,400,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,0,6,800,0,0,0,0,0,0,0,0,6,0,6,300,0,0,0,0,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,12,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,0,0,22,5100,0,0,0,0,400,1500,1300,200,200,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,0,6,900,0,0,0,0,0,0,0,0,6,0,6,400,0,0,0,0,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,12,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,0,0,22,4900,0,0,0,0,100,1700,1400,300,600,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,0,6,500,0,0,0,0,0,0,0,0,6,0,6,300,0,0,0,0,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,12,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
