engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,50398.000,50398.000,7020544,10510336,9805824,11612160,1581056,3358720,2469888,3358720,3358720,5599232
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,26494.600,26494.600,9809920,10866688,9990144,13299712,2469888,3694592,2891776,3694592,3694592,5967872
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,29200.100,29200.100,9990144,10866688,9965568,13328384,2891776,3678208,2580480,3678208,3678208,6037504
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,23696.700,23696.700,9965568,10887168,10006528,13328384,2580480,3833856,2662400,3833856,3833856,6037504
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,23923.100,23923.100,10006528,10944512,10067968,13328384,2662400,3768320,3084288,3768320,3768320,6037504
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,23026.700,23026.700,10067968,10936320,10080256,13414400,3084288,3674112,3026944,3674112,3674112,6144000
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,24206.300,24206.300,10080256,10956800,10088448,13422592,3026944,3760128,2854912,3760128,3760128,6144000
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,31514.300,31514.300,10088448,10960896,10199040,13422592,2854912,3739648,3235840,3739648,3739648,6144000
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,23907.400,23907.400,10199040,10964992,10121216,13434880,3235840,3772416,2768896,3772416,3772416,6213632
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,27184.500,27184.500,10125312,10305536,unavailable,13434880,2793472,2961408,unavailable,2961408,2961408,6213632
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,23063.500,23063.500,10305536,10448896,unavailable,13459456,2961408,3584000,unavailable,3584000,3584000,6213632
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,32132.300,32132.300,10448896,10424320,unavailable,13479936,3584000,3420160,unavailable,3420160,3420160,6283264
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,23991.900,23991.900,10424320,10457088,unavailable,13479936,3420160,3600384,unavailable,3600384,3600384,6283264
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,29111.500,29111.500,10457088,10395648,unavailable,13496320,3600384,3534848,unavailable,3534848,3534848,6283264
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,29722.500,29722.500,10395648,10444800,unavailable,13496320,3534848,3379200,unavailable,3379200,3379200,6283264
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,28430.100,28430.100,10444800,10424320,unavailable,13496320,3379200,3633152,unavailable,3633152,3633152,6283264
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,32808.400,32808.400,10424320,10375168,unavailable,13496320,3633152,3039232,unavailable,3039232,3039232,6283264
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,25017.100,25017.100,10387456,10498048,unavailable,13496320,3063808,3477504,unavailable,3477504,3477504,6283264
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,29169.700,29169.700,10498048,10584064,unavailable,13496320,3477504,3522560,unavailable,3522560,3522560,6283264
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,10,1,24051.100,24051.100,10584064,10563584,unavailable,13496320,3522560,3432448,unavailable,3432448,3432448,6283264
