engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,49108.400,49108.400,7610368,11116544,10481664,12218368
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,30298.400,30298.400,10489856,11501568,10706944,13860864
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,29424.900,29424.900,10706944,11517952,10682368,13967360
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,29831.100,29831.100,10682368,11546624,10727424,14000128
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,24986.400,24986.400,10727424,11563008,10690560,14004224
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,27242.700,27242.700,10690560,10899456,unavailable,14004224
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,26515.400,26515.400,10899456,10952704,unavailable,14004224
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,28642.100,28642.100,10952704,10842112,unavailable,14012416
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,26007.900,26007.900,10842112,10866688,unavailable,14024704
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,29718.400,29718.400,10866688,10948608,unavailable,14049280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,25399.100,25399.100,10948608,10887168,unavailable,14049280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,26110.900,26110.900,10887168,10891264,unavailable,14057472
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,27380.200,27380.200,10891264,10870784,unavailable,14057472
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,28029.600,28029.600,10870784,10907648,unavailable,14057472
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,30809.900,30809.900,10907648,10903552,unavailable,14057472
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,10,1,31407.400,31407.400,10903552,10907648,unavailable,14061568
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,11,1,26761.400,26761.400,10907648,10960896,unavailable,14061568
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,12,1,28088.600,28088.600,10969088,10919936,unavailable,14065664
