engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,40269.900,40269.900,7200768,10944512,10305536,11890688,1593344,3342336,2797568,3342336,3342336,5623808
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,23812.900,23812.900,10309632,11333632,10391552,13742080,2797568,3620864,2564096,3620864,3620864,6029312
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,21301.500,21301.500,10391552,11415552,10584064,13819904,2564096,3747840,3043328,3747840,3747840,6098944
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,23468.800,23468.800,10584064,11436032,10612736,13926400,3043328,4186112,3194880,4186112,4186112,6238208
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,21760.000,21760.000,10612736,11444224,10620928,13938688,3194880,3911680,2957312,3911680,3911680,6238208
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,24033.000,24033.000,10620928,11448320,10616832,13938688,3006464,3895296,3371008,3895296,3895296,6238208
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,25160.800,25160.800,10616832,11431936,10612736,13938688,3371008,3772416,3219456,3772416,3772416,6238208
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,20276.500,20276.500,10612736,11452416,10612736,13938688,3219456,3780608,3207168,3780608,3780608,6238208
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,22229.500,22229.500,10612736,11464704,10637312,13938688,3207168,3907584,2994176,3907584,3907584,6238208
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,21994.300,21994.300,10645504,10739712,unavailable,13938688,3002368,2924544,unavailable,2924544,2924544,6238208
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,23792.100,23792.100,10739712,10780672,unavailable,13942784,2924544,2990080,unavailable,2990080,2990080,6238208
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,21801.200,21801.200,10780672,10850304,unavailable,13942784,2990080,3432448,unavailable,3432448,3432448,6238208
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,21423.200,21423.200,10850304,10784768,unavailable,13950976,3432448,2965504,unavailable,2965504,2965504,6238208
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,21370.800,21370.800,10784768,10850304,unavailable,13963264,2965504,3375104,unavailable,3375104,3375104,6238208
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,21673.600,21673.600,10850304,10838016,unavailable,13963264,3375104,3379200,unavailable,3379200,3379200,6238208
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,23961.000,23961.000,10838016,10788864,unavailable,13963264,3379200,2961408,unavailable,2961408,2961408,6238208
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,22848.400,22848.400,10788864,10797056,unavailable,13971456,2961408,2965504,unavailable,2965504,2965504,6238208
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,27161.300,27161.300,10809344,10862592,unavailable,13971456,2977792,3371008,unavailable,3371008,3371008,6238208
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,20814.600,20814.600,10862592,10797056,unavailable,13983744,3371008,2965504,unavailable,2965504,2965504,6238208
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,10,1,20885.300,20885.300,10797056,10874880,unavailable,13983744,2965504,3395584,unavailable,3395584,3395584,6238208
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,11,1,22144.700,22144.700,10874880,10854400,unavailable,13983744,3395584,3219456,unavailable,3219456,3219456,6238208
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,12,1,25112.100,25112.100,10854400,10784768,unavailable,13983744,3219456,2953216,unavailable,2953216,2953216,6238208
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,13,1,21968.800,21968.800,10784768,10797056,unavailable,13983744,2953216,2961408,unavailable,2961408,2961408,6238208
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,14,1,25712.400,25712.400,10797056,11059200,unavailable,14012416,2961408,3309568,unavailable,3309568,3309568,6307840
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,15,1,21761.400,21761.400,11059200,10985472,unavailable,14012416,3309568,3358720,unavailable,3358720,3358720,6307840
