engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,47796.700,47796.700,7045120,10543104,9912320,11636736,1601536,3362816,2859008,3362816,3362816,5623808
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,25373.300,25373.300,9916416,10829824,9924608,13279232,2859008,3588096,2523136,3588096,3588096,5951488
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,32389.900,32389.900,9924608,10928128,10113024,13287424,2523136,3801088,2838528,3801088,3801088,5955584
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,22215.400,22215.400,10113024,10960896,10121216,13410304,2838528,3895296,2904064,3895296,3895296,6156288
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,21346.100,21346.100,10121216,10964992,10149888,13414400,2904064,3891200,3219456,3891200,3891200,6156288
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,27651.200,27651.200,10149888,10969088,10162176,13438976,3219456,3862528,3248128,3862528,3862528,6156288
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,23452.800,23452.800,10162176,10964992,10153984,13438976,3248128,3895296,3215360,3895296,3895296,6156288
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,24233.300,24233.300,10153984,10964992,10203136,13447168,3215360,3776512,3072000,3776512,3776512,6160384
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,21216.100,21216.100,10203136,10969088,10203136,13447168,3072000,3883008,3268608,3883008,3883008,6160384
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,24166.600,24166.600,10207232,10305536,unavailable,13447168,3272704,2969600,unavailable,2969600,2969600,6160384
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,21553.800,21553.800,10305536,10317824,unavailable,13447168,2969600,2973696,unavailable,2973696,2973696,6160384
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,24036.900,24036.900,10317824,10358784,unavailable,13451264,2973696,3743744,unavailable,3743744,3743744,6225920
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,23585.300,23585.300,10358784,10321920,unavailable,13463552,3743744,2981888,unavailable,2981888,2981888,6225920
