"engine","workload","input","sample_index","operation_count","total_us","us_per_operation","before_working_set_bytes","after_ready_working_set_bytes","after_finalize_working_set_bytes","peak_working_set_bytes"
"yune","key_sequence_process_with_context","ni","24","2","5564.900","2782.450","241582080","241582080","0","262516736"
"yune","key_sequence_process_with_context","hao","0","3","10972.900","3657.633","242221056","242221056","0","262602752"
"yune","key_sequence_process_with_context","hao","1","3","10854.000","3618.000","242221056","242221056","0","262602752"
"yune","key_sequence_process_with_context","hao","2","3","10840.900","3613.633","242221056","242221056","0","262602752"
"yune","key_sequence_process_with_context","hao","3","3","10926.500","3642.167","242221056","242221056","0","262602752"
"yune","key_sequence_process_with_context","hao","4","3","10950.500","3650.167","242221056","242221056","0","262602752"
"yune","key_sequence_process_with_context","hao","5","3","10852.800","3617.600","242221056","242221056","0","262602752"
"yune","key_sequence_process_with_context","hao","6","3","11041.200","3680.400","242221056","242221056","0","262602752"
"yune","key_sequence_process_with_context","hao","7","3","11005.500","3668.500","242221056","242221056","0","262602752"
"yune","key_sequence_process_with_context","hao","8","3","10947.000","3649.000","242221056","242221056","0","262602752"
"yune","key_sequence_process_with_context","hao","9","3","10898.800","3632.933","242221056","242221056","0","262602752"
"yune","key_sequence_process_with_context","hao","10","3","11014.800","3671.600","242229248","242229248","0","262602752"
"yune","key_sequence_process_with_context","hao","11","3","11011.100","3670.367","242229248","242229248","0","262602752"
"yune","key_sequence_process_with_context","hao","12","3","13519.500","4506.500","242229248","242229248","0","262602752"
"yune","key_sequence_process_with_context","hao","13","3","14491.600","4830.533","242229248","242229248","0","262602752"
"yune","key_sequence_process_with_context","hao","14","3","13142.300","4380.767","242229248","242229248","0","262602752"
"yune","key_sequence_process_with_context","hao","15","3","12799.500","4266.500","242229248","242229248","0","262602752"
"yune","key_sequence_process_with_context","hao","16","3","12870.600","4290.200","242229248","242229248","0","262602752"
"yune","key_sequence_process_with_context","hao","17","3","12220.700","4073.567","242229248","242229248","0","262602752"
"yune","key_sequence_process_with_context","hao","18","3","11481.200","3827.067","242229248","242229248","0","262602752"
"yune","key_sequence_process_with_context","hao","19","3","11179.000","3726.333","242229248","242229248","0","262602752"
"yune","key_sequence_process_with_context","hao","20","3","11043.800","3681.267","242229248","242229248","0","262602752"
"yune","key_sequence_process_with_context","hao","21","3","11089.400","3696.467","242229248","242229248","0","262602752"
"yune","key_sequence_process_with_context","hao","22","3","11425.700","3808.567","242229248","242229248","0","262602752"
"yune","key_sequence_process_with_context","hao","23","3","11458.200","3819.400","242229248","242229248","0","262602752"
"yune","key_sequence_process_with_context","hao","24","3","11470.100","3823.367","242229248","242229248","0","262602752"
"yune","key_sequence_process_with_context","zhongguo","0","8","34457.200","4307.150","242184192","242184192","0","262602752"
"yune","key_sequence_process_with_context","zhongguo","1","8","33170.300","4146.288","242184192","242184192","0","262602752"
"yune","key_sequence_process_with_context","zhongguo","2","8","33086.300","4135.788","242184192","242184192","0","262602752"
"yune","key_sequence_process_with_context","zhongguo","3","8","33970.900","4246.363","242184192","242184192","0","262602752"
"yune","key_sequence_process_with_context","zhongguo","4","8","32897.000","4112.125","242184192","242184192","0","262602752"
"yune","key_sequence_process_with_context","zhongguo","5","8","32973.100","4121.638","242184192","242184192","0","262602752"
"yune","key_sequence_process_with_context","zhongguo","6","8","36946.800","4618.350","242184192","242184192","0","262602752"
"yune","key_sequence_process_with_context","zhongguo","7","8","33398.000","4174.750","242184192","242184192","0","262602752"
"yune","key_sequence_process_with_context","zhongguo","8","8","32851.900","4106.488","242184192","242184192","0","262602752"
"yune","key_sequence_process_with_context","zhongguo","9","8","33793.700","4224.213","242184192","242184192","0","262602752"
"yune","key_sequence_process_with_context","zhongguo","10","8","34653.500","4331.688","242184192","242184192","0","262602752"
"yune","key_sequence_process_with_context","zhongguo","11","8","33631.600","4203.950","242184192","242184192","0","262602752"
"yune","key_sequence_process_with_context","zhongguo","12","8","36322.300","4540.288","242184192","242184192","0","262602752"
"yune","key_sequence_process_with_context","zhongguo","13","8","36045.500","4505.688","242184192","242184192","0","262602752"
"yune","key_sequence_process_with_context","zhongguo","14","8","34499.300","4312.413","242184192","242184192","0","262602752"
"yune","key_sequence_process_with_context","zhongguo","15","8","34502.800","4312.850","242184192","242184192","0","262602752"
"yune","key_sequence_process_with_context","zhongguo","16","8","35671.300","4458.913","242184192","242184192","0","262602752"
"yune","key_sequence_process_with_context","zhongguo","17","8","36237.700","4529.713","242184192","242184192","0","262602752"
"yune","key_sequence_process_with_context","zhongguo","18","8","34949.600","4368.700","242184192","242184192","0","262602752"
"yune","key_sequence_process_with_context","zhongguo","19","8","35883.200","4485.400","242184192","242184192","0","262602752"
"yune","key_sequence_process_with_context","zhongguo","20","8","39903.100","4987.888","242184192","242184192","0","262602752"
"yune","key_sequence_process_with_context","zhongguo","21","8","33730.900","4216.363","242184192","242184192","0","262602752"
"yune","key_sequence_process_with_context","zhongguo","22","8","34024.000","4253.000","242184192","242184192","0","262602752"
"yune","key_sequence_process_with_context","zhongguo","23","8","32690.300","4086.288","242184192","242184192","0","262602752"
"yune","key_sequence_process_with_context","zhongguo","24","8","33100.800","4137.600","242184192","242184192","0","262602752"
"librime-1.17.0","startup_warm_shared_assets_runtime_ready","","0","1","93928.800","93928.800","14921728","19542016","18923520","21278720"
"librime-1.17.0","startup_warm_shared_assets_runtime_ready","","1","1","32492.000","32492.000","19050496","20029440","19030016","22446080"
"librime-1.17.0","startup_warm_shared_assets_runtime_ready","","2","1","30060.600","30060.600","19030016","19984384","19345408","22446080"
"librime-1.17.0","startup_warm_shared_assets_runtime_ready","","3","1","29933.500","29933.500","19165184","19996672","19353600","22446080"
"librime-1.17.0","startup_warm_shared_assets_runtime_ready","","4","1","28599.100","28599.100","19173376","20008960","19210240","22446080"
"librime-1.17.0","startup_warm_shared_assets_runtime_ready","","5","1","27362.800","27362.800","19218432","20013056","19275776","22446080"
"librime-1.17.0","startup_warm_shared_assets_runtime_ready","","6","1","27631.600","27631.600","19107840","20148224","19226624","22466560"
"librime-1.17.0","startup_warm_shared_assets_runtime_ready","","7","1","28017.400","28017.400","19226624","20094976","19214336","22466560"
"librime-1.17.0","startup_warm_shared_assets_runtime_ready","","8","1","29788.800","29788.800","19214336","20000768","19365888","22466560"
"librime-1.17.0","session_create_select_destroy","","0","1","30738.800","30738.800","19230720","19406848","0","22499328"
"librime-1.17.0","session_create_select_destroy","","1","1","32631.600","32631.600","19406848","19480576","0","22523904"
"librime-1.17.0","session_create_select_destroy","","2","1","31297.700","31297.700","19480576","19427328","0","22552576"
"librime-1.17.0","session_create_select_destroy","","3","1","33593.200","33593.200","19427328","19484672","0","22552576"
"librime-1.17.0","session_create_select_destroy","","4","1","30718.300","30718.300","19484672","19419136","0","22552576"
"librime-1.17.0","session_create_select_destroy","","5","1","32001.500","32001.500","19419136","19406848","0","22581248"
"librime-1.17.0","session_create_select_destroy","","6","1","30998.800","30998.800","19406848","19546112","0","22618112"
"librime-1.17.0","session_create_select_destroy","","7","1","30562.000","30562.000","19546112","19501056","0","22618112"
"librime-1.17.0","session_create_select_destroy","","8","1","29689.000","29689.000","19509248","19492864","0","22618112"
"librime-1.17.0","key_sequence_process_with_context","ni","0","2","30.000","15.000","20602880","20602880","0","22618112"
"librime-1.17.0","key_sequence_process_with_context","ni","1","2","29.800","14.900","20602880","20602880","0","22618112"
"librime-1.17.0","key_sequence_process_with_context","ni","2","2","29.800","14.900","20602880","20602880","0","22618112"
"librime-1.17.0","key_sequence_process_with_context","ni","3","2","29.300","14.650","20602880","20602880","0","22618112"
"librime-1.17.0","key_sequence_process_with_context","ni","4","2","29.100","14.550","20602880","20602880","0","22618112"
"librime-1.17.0","key_sequence_process_with_context","ni","5","2","29.400","14.700","20602880","20602880","0","22618112"
"librime-1.17.0","key_sequence_process_with_context","ni","6","2","29.200","14.600","20602880","20602880","0","22618112"
"librime-1.17.0","key_sequence_process_with_context","ni","7","2","87.900","43.950","20602880","20602880","0","22618112"
"librime-1.17.0","key_sequence_process_with_context","ni","8","2","40.700","20.350","20602880","20602880","0","22618112"
"librime-1.17.0","key_sequence_process_with_context","ni","9","2","32.500","16.250","20602880","20602880","0","22618112"
"librime-1.17.0","key_sequence_process_with_context","ni","10","2","30.300","15.150","20602880","20602880","0","22618112"
"librime-1.17.0","key_sequence_process_with_context","ni","11","2","29.400","14.700","20602880","20602880","0","22618112"
"librime-1.17.0","key_sequence_process_with_context","ni","12","2","29.900","14.950","20602880","20602880","0","22618112"
"librime-1.17.0","key_sequence_process_with_context","ni","13","2","33.200","16.600","20602880","20606976","0","22618112"
"librime-1.17.0","key_sequence_process_with_context","ni","14","2","29.100","14.550","20606976","20606976","0","22618112"
"librime-1.17.0","key_sequence_process_with_context","ni","15","2","29.000","14.500","20606976","20606976","0","22618112"
"librime-1.17.0","key_sequence_process_with_context","ni","16","2","29.200","14.600","20606976","20606976","0","22618112"
"librime-1.17.0","key_sequence_process_with_context","ni","17","2","29.100","14.550","20606976","20606976","0","22618112"
"librime-1.17.0","key_sequence_process_with_context","ni","18","2","29.100","14.550","20606976","20606976","0","22618112"
"librime-1.17.0","key_sequence_process_with_context","ni","19","2","29.000","14.500","20606976","20606976","0","22618112"
"librime-1.17.0","key_sequence_process_with_context","ni","20","2","28.900","14.450","20606976","20606976","0","22618112"
"librime-1.17.0","key_sequence_process_with_context","ni","21","2","28.900","14.450","20606976","20606976","0","22618112"
"librime-1.17.0","key_sequence_process_with_context","ni","22","2","29.000","14.500","20606976","20606976","0","22618112"
"librime-1.17.0","key_sequence_process_with_context","ni","23","2","28.700","14.350","20606976","20606976","0","22618112"
"librime-1.17.0","key_sequence_process_with_context","ni","24","2","28.900","14.450","20606976","20606976","0","22618112"
"librime-1.17.0","key_sequence_process_with_context","hao","0","3","37.100","12.367","20541440","20541440","0","22687744"
"librime-1.17.0","key_sequence_process_with_context","hao","1","3","36.500","12.167","20541440","20541440","0","22687744"
"librime-1.17.0","key_sequence_process_with_context","hao","2","3","36.800","12.267","20541440","20541440","0","22687744"
"librime-1.17.0","key_sequence_process_with_context","hao","3","3","36.500","12.167","20541440","20549632","0","22687744"
"librime-1.17.0","key_sequence_process_with_context","hao","4","3","36.300","12.100","20549632","20549632","0","22687744"
"librime-1.17.0","key_sequence_process_with_context","hao","5","3","36.200","12.067","20549632","20549632","0","22687744"
"librime-1.17.0","key_sequence_process_with_context","hao","6","3","36.000","12.000","20549632","20549632","0","22687744"
"librime-1.17.0","key_sequence_process_with_context","hao","7","3","35.800","11.933","20549632","20549632","0","22687744"
"librime-1.17.0","key_sequence_process_with_context","hao","8","3","35.800","11.933","20549632","20549632","0","22687744"
"librime-1.17.0","key_sequence_process_with_context","hao","9","3","35.900","11.967","20549632","20549632","0","22687744"
"librime-1.17.0","key_sequence_process_with_context","hao","10","3","35.900","11.967","20549632","20549632","0","22687744"
"librime-1.17.0","key_sequence_process_with_context","hao","11","3","35.700","11.900","20549632","20549632","0","22687744"
"librime-1.17.0","key_sequence_process_with_context","hao","12","3","36.000","12.000","20549632","20549632","0","22687744"
"librime-1.17.0","key_sequence_process_with_context","hao","13","3","36.000","12.000","20549632","20549632","0","22687744"
"librime-1.17.0","key_sequence_process_with_context","hao","14","3","36.000","12.000","20549632","20549632","0","22687744"
"librime-1.17.0","key_sequence_process_with_context","hao","15","3","35.700","11.900","20549632","20549632","0","22687744"
"librime-1.17.0","key_sequence_process_with_context","hao","16","3","35.900","11.967","20549632","20549632","0","22687744"
"librime-1.17.0","key_sequence_process_with_context","hao","17","3","35.600","11.867","20549632","20549632","0","22687744"
"librime-1.17.0","key_sequence_process_with_context","hao","18","3","71.900","23.967","20549632","20549632","0","22687744"
"librime-1.17.0","key_sequence_process_with_context","hao","19","3","78.400","26.133","20549632","20549632","0","22687744"
"librime-1.17.0","key_sequence_process_with_context","hao","20","3","43.400","14.467","20549632","20549632","0","22687744"
"librime-1.17.0","key_sequence_process_with_context","hao","21","3","38.500","12.833","20549632","20549632","0","22687744"
"librime-1.17.0","key_sequence_process_with_context","hao","22","3","40.100","13.367","20549632","20549632","0","22687744"
"librime-1.17.0","key_sequence_process_with_context","hao","23","3","36.900","12.300","20549632","20549632","0","22687744"
"librime-1.17.0","key_sequence_process_with_context","hao","24","3","36.500","12.167","20549632","20549632","0","22687744"
"librime-1.17.0","key_sequence_process_with_context","zhongguo","0","8","1507.300","188.413","21610496","21602304","0","22695936"
"librime-1.17.0","key_sequence_process_with_context","zhongguo","1","8","1649.300","206.163","21602304","21401600","0","22695936"
"librime-1.17.0","key_sequence_process_with_context","zhongguo","2","8","1560.600","195.075","21401600","21585920","0","22695936"
"librime-1.17.0","key_sequence_process_with_context","zhongguo","3","8","1500.200","187.525","21585920","21626880","0","22695936"
"librime-1.17.0","key_sequence_process_with_context","zhongguo","4","8","1514.400","189.300","21626880","21626880","0","22695936"
"librime-1.17.0","key_sequence_process_with_context","zhongguo","5","8","1498.100","187.263","21626880","21610496","0","22695936"
"librime-1.17.0","key_sequence_process_with_context","zhongguo","6","8","1513.500","189.188","21610496","21602304","0","22695936"
"librime-1.17.0","key_sequence_process_with_context","zhongguo","7","8","1493.800","186.725","21602304","21614592","0","22695936"
"librime-1.17.0","key_sequence_process_with_context","zhongguo","8","8","1552.000","194.000","21614592","21590016","0","22695936"
"librime-1.17.0","key_sequence_process_with_context","zhongguo","9","8","1511.500","188.938","21590016","21610496","0","22695936"
"librime-1.17.0","key_sequence_process_with_context","zhongguo","10","8","1507.300","188.413","21610496","21618688","0","22695936"
"librime-1.17.0","key_sequence_process_with_context","zhongguo","11","8","1531.800","191.475","21618688","21405696","0","22695936"
"librime-1.17.0","key_sequence_process_with_context","zhongguo","12","8","1542.300","192.788","21405696","21598208","0","22695936"
"librime-1.17.0","key_sequence_process_with_context","zhongguo","13","8","1507.900","188.488","21598208","21618688","0","22695936"
"librime-1.17.0","key_sequence_process_with_context","zhongguo","14","8","1492.400","186.550","21618688","21614592","0","22695936"
"librime-1.17.0","key_sequence_process_with_context","zhongguo","15","8","1552.800","194.100","21614592","21614592","0","22695936"
"librime-1.17.0","key_sequence_process_with_context","zhongguo","16","8","1494.300","186.788","21614592","21610496","0","22695936"
"librime-1.17.0","key_sequence_process_with_context","zhongguo","17","8","1494.400","186.800","21610496","21626880","0","22695936"
"librime-1.17.0","key_sequence_process_with_context","zhongguo","18","8","1483.700","185.463","21626880","21606400","0","22695936"
"librime-1.17.0","key_sequence_process_with_context","zhongguo","19","8","1541.000","192.625","21614592","21417984","0","22695936"
"librime-1.17.0","key_sequence_process_with_context","zhongguo","20","8","1510.000","188.750","21417984","21622784","0","22695936"
"librime-1.17.0","key_sequence_process_with_context","zhongguo","21","8","1478.600","184.825","21622784","21639168","0","22695936"
"librime-1.17.0","key_sequence_process_with_context","zhongguo","22","8","1499.300","187.413","21639168","21655552","0","22695936"
"librime-1.17.0","key_sequence_process_with_context","zhongguo","23","8","1478.400","184.800","21655552","21643264","0","22695936"
"librime-1.17.0","key_sequence_process_with_context","zhongguo","24","8","1438.900","179.863","21643264","21483520","0","22695936"
