"engine","track","schema_id","input","iterations","table_path","prism_path","selected_storage","table_mapping_mode","prism_mapping_mode","raw_prism_median_us","raw_prism_code_count","raw_table_median_us","raw_table_lookup_codes","raw_table_candidate_count","translator_median_us","real_prism_lookup_median_us","candidate_materialization_median_us","candidate_sort_median_us","filter_pipeline_median_us","ranker_pipeline_median_us","context_export_median_us","abi_c_string_allocation_median_us","free_context_median_us","rsmarisa_exact_lookup_calls_per_op","rsmarisa_prefix_lookup_calls_per_op","owned_candidates_per_op","context_page_candidates_per_op","abi_c_string_allocations_per_op","abi_c_string_bytes_per_op"
"yune","track-a-comparison","luna_pinyin","n","80","C:\m59-4e-perf-work-5879405c\run5\track-a-yune\user\build\luna_pinyin.table.bin","C:\m59-4e-perf-work-5879405c\run5\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.200","26","153.300","n|na|nai|nan|nang|nao|ne|nei|nen|neng|ni|nia|nian|niang|niao|nie|nin|ning|niu|nong|nou|nu|nuan|nun|nuo|nv|nve","1260","0.400","0.000","0.000","0.400","0.600","0.000","1.200","0.200","0.100","0.000","0.000","0.000","5.000","7.000","26.000"
"yune","track-a-comparison","luna_pinyin","ni","80","C:\m59-4e-perf-work-5879405c\run5\track-a-yune\user\build\luna_pinyin.table.bin","C:\m59-4e-perf-work-5879405c\run5\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.100","1","17.800","ni","182","0.400","0.000","0.000","0.400","0.600","0.000","1.200","0.250","0.100","0.000","0.000","0.000","5.000","7.000","26.500"
"yune","track-a-comparison","luna_pinyin","hao","80","C:\m59-4e-perf-work-5879405c\run5\track-a-yune\user\build\luna_pinyin.table.bin","C:\m59-4e-perf-work-5879405c\run5\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.100","1","14.100","hao","139","0.400","0.000","0.000","0.367","0.533","0.033","1.100","0.267","0.100","0.000","0.000","0.000","5.000","7.000","27.000"
"yune","track-a-comparison","luna_pinyin","zhongguo","80","C:\m59-4e-perf-work-5879405c\run5\track-a-yune\user\build\luna_pinyin.table.bin","C:\m59-4e-perf-work-5879405c\run5\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","0","2.200","zhongguo","4","0.900","0.000","0.000","0.812","1.488","0.025","1.150","0.263","0.087","0.000","0.000","0.000","5.000","7.000","41.500"
"yune","track-a-comparison","luna_pinyin","ceshiyixiachangjushuruxingnengzenyang","80","C:\m59-4e-perf-work-5879405c\run5\track-a-yune\user\build\luna_pinyin.table.bin","C:\m59-4e-perf-work-5879405c\run5\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","0","29.400","ceshiyixiachangjushuruxingnengzenyang","0","0.881","0.000","0.000","0.800","1.473","0.024","1.159","0.278","0.097","0.000","0.000","0.000","5.000","7.000","105.568"
"yune","track-a-comparison","luna_pinyin","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","C:\m59-4e-perf-work-5879405c\run5\track-a-yune\user\build\luna_pinyin.table.bin","C:\m59-4e-perf-work-5879405c\run5\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","0","35.700","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","0","0.888","0.000","0.000","0.797","1.420","0.024","1.171","0.295","0.100","0.000","0.000","0.000","5.000","7.000","134.458"
"yune","track-a-comparison","luna_pinyin","cszysmsrsd","80","C:\m59-4e-perf-work-5879405c\run5\track-a-yune\user\build\luna_pinyin.table.bin","C:\m59-4e-perf-work-5879405c\run5\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","0","0.800","cszysmsrsd","0","0.870","0.000","0.000","0.800","1.410","0.020","1.150","0.270","0.100","0.000","0.000","0.000","5.000","7.000","90.800"
"yune","track-a-comparison","luna_pinyin","zybfshmsru","80","C:\m59-4e-perf-work-5879405c\run5\track-a-yune\user\build\luna_pinyin.table.bin","C:\m59-4e-perf-work-5879405c\run5\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","0","0.700","zybfshmsru","0","0.860","0.000","0.000","0.810","1.420","0.030","1.150","0.270","0.100","0.000","0.000","0.000","5.000","7.000","86.600"
"yune","track-a-comparison","luna_pinyin","zh","80","C:\m59-4e-perf-work-5879405c\run5\track-a-yune\user\build\luna_pinyin.table.bin","C:\m59-4e-perf-work-5879405c\run5\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.200","20","301.200","zh|zha|zhai|zhan|zhang|zhao|zhe|zhei|zhen|zheng|zhi|zhong|zhou|zhu|zhua|zhuai|zhuan|zhuang|zhui|zhun|zhuo","2776","0.850","0.000","0.000","0.800","1.350","0.000","1.150","0.250","0.100","0.000","0.000","0.000","5.000","7.000","29.500"
"yune","track-a-comparison","luna_pinyin","j","80","C:\m59-4e-perf-work-5879405c\run5\track-a-yune\user\build\luna_pinyin.table.bin","C:\m59-4e-perf-work-5879405c\run5\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.200","14","393.400","j|ji|jia|jian|jiang|jiao|jie|jin|jing|jiong|jiu|ju|juan|jue|jun","3766","0.800","0.000","0.000","0.800","1.400","0.000","1.100","0.200","0.100","0.000","0.000","0.000","5.000","7.000","26.000"
