"engine","track","schema_id","workload","input","sample_index","operation_count","total_us","us_per_operation","before_working_set_bytes","after_ready_working_set_bytes","after_finalize_working_set_bytes","peak_working_set_bytes","before_private_bytes","after_ready_private_bytes","after_finalize_private_bytes","private_bytes","pagefile_bytes","peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","1","44850.900","44850.900","7024640","10522624","9891840","11624448","1585152","3227648","2822144","3227648","3227648","5607424"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","1","34739.700","34739.700","9895936","10813440","9891840","13266944","2822144","3579904","2502656","3579904","3579904","5931008"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","2","1","30769.300","30769.300","9891840","10854400","9961472","13340672","2502656","3629056","2904064","3629056","3629056","6000640"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","3","1","30921.600","30921.600","9961472","10854400","9961472","13348864","2904064","3637248","2564096","3637248","3637248","6070272"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","4","1","30228.600","30228.600","9961472","10919936","10022912","13348864","2564096","3710976","2666496","3710976","3710976","6070272"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","1","30715.200","30715.200","10022912","10956800","10055680","13426688","2666496","3702784","2764800","3702784","3702784","6172672"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","6","1","31374.000","31374.000","10055680","10932224","10031104","13426688","2764800","3772416","3108864","3772416","3772416","6172672"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","7","1","31704.000","31704.000","10031104","10952704","10096640","13434880","3108864","3751936","2740224","3751936","3751936","6172672"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","8","1","30353.400","30353.400","10096640","10936320","10162176","13434880","2740224","3710976","3354624","3710976","3710976","6172672"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","0","1","32415.000","32415.000","10166272","10309632","unavailable","13434880","3358720","3088384","unavailable","3088384","3088384","6172672"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","1","1","32760.400","32760.400","10309632","10383360","unavailable","13438976","3088384","3313664","unavailable","3313664","3313664","6172672"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","2","1","31627.600","31627.600","10383360","10379264","unavailable","13438976","3313664","3383296","unavailable","3383296","3383296","6172672"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","3","1","29962.200","29962.200","10379264","10379264","unavailable","13443072","3383296","3342336","unavailable","3342336","3342336","6172672"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","4","1","30501.600","30501.600","10379264","10326016","unavailable","13443072","3342336","2977792","unavailable","2977792","2977792","6172672"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","5","1","31406.100","31406.100","10326016","10342400","unavailable","13463552","2977792","2985984","unavailable","2985984","2985984","6238208"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","6","1","29478.600","29478.600","10342400","10346496","unavailable","13463552","2985984","2994176","unavailable","2994176","2994176","6238208"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","7","1","30078.300","30078.300","10346496","10399744","unavailable","13463552","2994176","3305472","unavailable","3305472","3305472","6242304"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","8","1","31173.400","31173.400","10407936","10420224","unavailable","13475840","3317760","3346432","unavailable","3346432","3346432","6242304"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","9","1","29784.600","29784.600","10424320","10412032","unavailable","13475840","3346432","3264512","unavailable","3264512","3264512","6242304"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","10","1","30938.600","30938.600","10412032","10403840","unavailable","13475840","3264512","3289088","unavailable","3289088","3289088","6242304"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","11","1","30024.000","30024.000","10403840","10432512","unavailable","13475840","3289088","3325952","unavailable","3325952","3325952","6242304"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","12","1","30924.500","30924.500","10432512","10543104","unavailable","13475840","3325952","3399680","unavailable","3399680","3399680","6242304"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","13","1","32869.500","32869.500","10543104","10608640","unavailable","13475840","3399680","3538944","unavailable","3538944","3538944","6242304"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","14","1","29771.800","29771.800","10608640","10555392","unavailable","13488128","3538944","3481600","unavailable","3481600","3481600","6242304"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","15","1","29763.600","29763.600","10555392","10645504","unavailable","13496320","3481600","3559424","unavailable","3559424","3559424","6307840"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","16","1","31002.500","31002.500","10645504","10571776","unavailable","13496320","3559424","3399680","unavailable","3399680","3399680","6311936"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","17","1","28004.900","28004.900","10571776","10665984","unavailable","13500416","3399680","3538944","unavailable","3538944","3538944","6311936"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","18","1","32681.800","32681.800","10665984","10637312","unavailable","13500416","3538944","3518464","unavailable","3518464","3518464","6311936"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","19","1","32462.600","32462.600","10637312","10575872","unavailable","13500416","3518464","3477504","unavailable","3477504","3477504","6311936"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","20","1","35256.400","35256.400","10575872","10575872","unavailable","13500416","3477504","3301376","unavailable","3301376","3301376","6311936"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","21","1","39075.700","39075.700","10575872","10674176","unavailable","13500416","3301376","3584000","unavailable","3584000","3584000","6311936"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","22","1","33757.300","33757.300","10674176","10592256","unavailable","13500416","3584000","3502080","unavailable","3502080","3502080","6311936"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","23","1","32303.900","32303.900","10592256","10575872","unavailable","13500416","3502080","3223552","unavailable","3223552","3223552","6311936"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","24","1","30592.500","30592.500","10592256","10727424","unavailable","13516800","3268608","3702784","unavailable","3702784","3702784","6311936"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","25","1","30967.400","30967.400","10727424","10625024","unavailable","13520896","3702784","3305472","unavailable","3305472","3305472","6311936"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","26","1","31404.000","31404.000","10625024","10690560","unavailable","13529088","3305472","3420160","unavailable","3420160","3420160","6311936"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","27","1","32849.000","32849.000","10694656","10620928","unavailable","13529088","3420160","3624960","unavailable","3624960","3624960","6311936"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","28","1","32243.900","32243.900","10620928","10719232","unavailable","13537280","3624960","3612672","unavailable","3612672","3612672","6311936"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","29","1","31281.200","31281.200","10719232","10760192","unavailable","13537280","3612672","3436544","unavailable","3436544","3436544","6311936"
