engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,70416.700,70416.700,7032832,10559488,9850880,11632640,1605632,3297280,2465792,3297280,3297280,5636096
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,34318.300,34318.300,9850880,10960896,9908224,13332480,2465792,3706880,2584576,3706880,3706880,6025216
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,35232.400,35232.400,9908224,10960896,10117120,13406208,2584576,3801088,2859008,3801088,3801088,6164480
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,27516.700,27516.700,10117120,10969088,9908224,13406208,2859008,3801088,2572288,3801088,3801088,6164480
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,28260.000,28260.000,9908224,10989568,10035200,13410304,2572288,3735552,2707456,3735552,3735552,6164480
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,32392.700,32392.700,10035200,10997760,9887744,13414400,2707456,3821568,2551808,3821568,3821568,6164480
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,32510.700,32510.700,9887744,10981376,9900032,13414400,2551808,3764224,2568192,3764224,3764224,6164480
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,29570.200,29570.200,9900032,10985472,10108928,13414400,2568192,3796992,3170304,3796992,3796992,6164480
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,28102.300,28102.300,10108928,10989568,10039296,13414400,3170304,3801088,2711552,3801088,3801088,6164480
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,32771.900,32771.900,10043392,10252288,unavailable,13426688,2715648,2928640,unavailable,2928640,2928640,6164480
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,31111.400,31111.400,10252288,10321920,unavailable,13459456,2928640,3702784,unavailable,3702784,3702784,6234112
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,31265.400,31265.400,10321920,10276864,unavailable,13463552,3702784,2949120,unavailable,2949120,2949120,6234112
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,30804.000,30804.000,10276864,10285056,unavailable,13479936,2949120,2957312,unavailable,2957312,2957312,6303744
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,32899.000,32899.000,10285056,10305536,unavailable,13479936,2957312,2985984,unavailable,2985984,2985984,6303744
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,32698.800,32698.800,10305536,10354688,unavailable,13479936,2985984,3633152,unavailable,3633152,3633152,6303744
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,31666.700,31666.700,10354688,10301440,unavailable,13479936,3633152,2981888,unavailable,2981888,2981888,6303744
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,29299.200,29299.200,10301440,10358784,unavailable,13479936,2981888,3575808,unavailable,3575808,3575808,6303744
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,34350.000,34350.000,10366976,10309632,unavailable,13488128,3596288,2985984,unavailable,2985984,2985984,6303744
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,34111.600,34111.600,10313728,10366976,unavailable,13488128,2985984,3534848,unavailable,3534848,3534848,6303744
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,10,1,28889.300,28889.300,10366976,10358784,unavailable,13488128,3534848,3555328,unavailable,3555328,3555328,6303744
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,11,1,30688.800,30688.800,10358784,10309632,unavailable,13488128,3555328,3055616,unavailable,3055616,3055616,6303744
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,12,1,32470.700,32470.700,10309632,10358784,unavailable,13492224,3055616,3514368,unavailable,3514368,3514368,6303744
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,13,1,33296.300,33296.300,10358784,10301440,unavailable,13492224,3514368,2973696,unavailable,2973696,2973696,6303744
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,14,1,25220.200,25220.200,10301440,10293248,unavailable,13492224,2973696,2969600,unavailable,2969600,2969600,6303744
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,15,1,25038.500,25038.500,10293248,10522624,unavailable,13500416,2969600,3616768,unavailable,3616768,3616768,6303744
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,16,1,31477.600,31477.600,10522624,10596352,unavailable,13500416,3616768,3792896,unavailable,3792896,3792896,6303744
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,17,1,32918.700,32918.700,10596352,10444800,unavailable,13500416,3792896,3121152,unavailable,3121152,3121152,6303744
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,18,1,25698.700,25698.700,10444800,10444800,unavailable,13500416,3121152,3674112,unavailable,3674112,3674112,6373376
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,19,1,31994.000,31994.000,10444800,10571776,unavailable,13500416,3674112,3682304,unavailable,3682304,3682304,6373376
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,20,1,29476.600,29476.600,10571776,10440704,unavailable,13500416,3682304,3526656,unavailable,3526656,3526656,6373376
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,21,1,31923.800,31923.800,10440704,10530816,unavailable,13500416,3526656,3624960,unavailable,3624960,3624960,6373376
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,22,1,29615.700,29615.700,10530816,10457088,unavailable,13500416,3624960,3686400,unavailable,3686400,3686400,6373376
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,23,1,31644.200,31644.200,10457088,10436608,unavailable,13500416,3686400,3481600,unavailable,3481600,3481600,6373376
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,24,1,33862.300,33862.300,10452992,10469376,unavailable,13500416,3510272,3563520,unavailable,3563520,3563520,6373376
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,25,1,30630.100,30630.100,10469376,10461184,unavailable,13500416,3563520,3555328,unavailable,3555328,3555328,6373376
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,26,1,29172.400,29172.400,10461184,10391552,unavailable,13524992,3555328,3088384,unavailable,3088384,3088384,6373376
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,27,1,30349.000,30349.000,10395648,10452992,unavailable,13524992,3088384,3694592,unavailable,3694592,3694592,6373376
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,28,1,32159.100,32159.100,10452992,10465280,unavailable,13524992,3694592,3227648,unavailable,3227648,3227648,6373376
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,29,1,33220.900,33220.900,10465280,10477568,unavailable,13524992,3227648,3170304,unavailable,3170304,3170304,6373376
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,30,1,29796.300,29796.300,10477568,10465280,unavailable,13524992,3170304,3158016,unavailable,3158016,3158016,6373376
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,31,1,33437.200,33437.200,10465280,10547200,unavailable,13524992,3158016,3305472,unavailable,3305472,3305472,6373376
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,32,1,28905.400,28905.400,10547200,10608640,unavailable,13524992,3305472,3653632,unavailable,3653632,3653632,6373376
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,33,1,32628.100,32628.100,10608640,10678272,unavailable,13524992,3653632,3915776,unavailable,3915776,3915776,6373376
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,34,1,28485.700,28485.700,10678272,10649600,unavailable,13524992,3915776,3821568,unavailable,3821568,3821568,6373376
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,35,1,29415.300,29415.300,10649600,10489856,unavailable,13533184,3821568,3178496,unavailable,3178496,3178496,6373376
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,36,1,29721.000,29721.000,10493952,10526720,unavailable,13533184,3178496,3219456,unavailable,3219456,3219456,6373376
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,37,1,32421.600,32421.600,10526720,10592256,unavailable,13533184,3219456,3698688,unavailable,3698688,3698688,6373376
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,38,1,36964.800,36964.800,10592256,10571776,unavailable,13602816,3698688,3665920,unavailable,3665920,3665920,6443008
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,39,1,28313.300,28313.300,10571776,10592256,unavailable,13602816,3665920,3547136,unavailable,3547136,3547136,6443008
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,40,1,34419.000,34419.000,10592256,10608640,unavailable,13602816,3547136,3559424,unavailable,3559424,3559424,6443008
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,41,1,31981.800,31981.800,10608640,10670080,unavailable,13602816,3559424,3825664,unavailable,3825664,3825664,6443008
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,42,1,34567.000,34567.000,10670080,10633216,unavailable,13602816,3825664,3739648,unavailable,3739648,3739648,6443008
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,43,1,31358.500,31358.500,10633216,10518528,unavailable,13602816,3739648,3215360,unavailable,3215360,3215360,6443008
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,44,1,34188.800,34188.800,10518528,10665984,unavailable,13602816,3215360,3907584,unavailable,3907584,3907584,6443008
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,45,1,28602.400,28602.400,10670080,10518528,unavailable,13602816,3907584,3215360,unavailable,3215360,3215360,6443008
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,46,1,30810.200,30810.200,10518528,10608640,unavailable,13602816,3215360,3309568,unavailable,3309568,3309568,6443008
